time,Open,High,Low,Close,Label
1989-10-16,0.0,0.42,0.38,0.42,N
1989-10-17,0.0,0.44,0.4,0.42,N
1989-10-18,0.0,0.43,0.41,0.43,N
1989-10-19,0.0,0.44,0.43,0.44,N
1989-10-20,0.0,0.44,0.42,0.43,N
1989-10-23,0.0,0.43,0.41,0.42,N
1989-10-24,0.0,0.43,0.4,0.43,N
1989-10-25,0.0,0.43,0.41,0.42,N
1989-10-26,0.0,0.42,0.4,0.4,N
1989-10-27,0.0,0.41,0.4,0.4,N
1989-10-30,0.0,0.41,0.4,0.41,N
1989-10-31,0.0,0.42,0.41,0.42,N
1989-11-01,0.0,0.42,0.41,0.41,N
1989-11-02,0.0,0.4,0.38,0.39,N
1989-11-03,0.0,0.4,0.39,0.39,N
1989-11-06,0.0,0.39,0.38,0.39,N
1989-11-07,0.0,0.4,0.39,0.39,N
1989-11-08,0.0,0.4,0.4,0.4,N
1989-11-09,0.0,0.41,0.4,0.41,N
1989-11-10,0.0,0.42,0.41,0.42,N
1989-11-13,0.0,0.42,0.42,0.42,N
1989-11-14,0.0,0.42,0.4,0.4,N
1989-11-15,0.0,0.4,0.39,0.4,N
1989-11-16,0.0,0.4,0.39,0.4,N
1989-11-17,0.0,0.4,0.4,0.4,N
1989-11-20,0.0,0.41,0.4,0.4,N
1989-11-21,0.0,0.42,0.4,0.4,N
1989-11-22,0.0,0.41,0.4,0.4,N
1989-11-24,0.0,0.4,0.4,0.4,N
1989-11-27,0.0,0.4,0.39,0.39,N
1989-11-28,0.0,0.4,0.38,0.39,N
1989-11-29,0.0,0.4,0.38,0.39,N
1989-11-30,0.0,0.4,0.39,0.4,N
1989-12-01,0.0,0.4,0.39,0.39,N
1989-12-04,0.0,0.41,0.39,0.4,N
1989-12-05,0.0,0.41,0.4,0.4,N
1989-12-06,0.0,0.4,0.37,0.38,N
1989-12-07,0.0,0.39,0.38,0.38,N
1989-12-08,0.0,0.38,0.37,0.37,N
1989-12-11,0.0,0.37,0.34,0.35,N
1989-12-12,0.0,0.35,0.31,0.32,N
1989-12-13,0.0,0.33,0.32,0.32,N
1989-12-14,0.0,0.32,0.31,0.31,N
1989-12-15,0.0,0.31,0.29,0.3,N
1989-12-18,0.0,0.31,0.3,0.31,N
1989-12-19,0.0,0.32,0.31,0.31,N
1989-12-20,0.0,0.32,0.31,0.32,N
1989-12-21,0.0,0.32,0.32,0.32,N
1989-12-22,0.0,0.33,0.32,0.33,N
1989-12-26,0.0,0.33,0.31,0.32,N
1989-12-27,0.0,0.32,0.31,0.31,N
1989-12-28,0.0,0.31,0.31,0.31,N
1989-12-29,0.0,0.32,0.31,0.31,N
1990-01-02,0.0,0.33,0.31,0.33,N
1990-01-03,0.0,0.34,0.33,0.33,N
1990-01-04,0.0,0.35,0.33,0.34,N
1990-01-05,0.0,0.34,0.33,0.34,N
1990-01-08,0.0,0.34,0.33,0.34,N
1990-01-09,0.0,0.34,0.33,0.34,N
1990-01-10,0.0,0.34,0.32,0.32,N
1990-01-11,0.0,0.32,0.31,0.31,N
1990-01-12,0.0,0.31,0.3,0.31,N
1990-01-15,0.0,0.32,0.31,0.31,N
1990-01-16,0.0,0.31,0.29,0.31,N
1990-01-17,0.0,0.31,0.29,0.3,N
1990-01-18,0.0,0.3,0.29,0.29,R
1990-01-19,0.0,0.31,0.3,0.31,N
1990-01-22,0.0,0.31,0.3,0.3,N
1990-01-23,0.0,0.31,0.29,0.3,N
1990-01-24,0.0,0.31,0.29,0.3,N
1990-01-25,0.0,0.31,0.3,0.3,N
1990-01-26,0.0,0.3,0.29,0.29,N
1990-01-29,0.0,0.3,0.29,0.3,N
1990-01-30,0.0,0.31,0.29,0.3,N
